3
Input Files/1.txt
Input Files/10.txt
Input Files/2.txt
0 5000
coughing 1 1 
coughs 1 1 
could 1 1 
couldn 1 1 
count 1 1 
countach 1 1 
counter 1 1 
counting 1 1 
country 1 1 
couple 1 1 
couples 1 1 
courage 1 1 
course 1 1 
coursing 1 1 
courtesy 1 1 
courtney 1 1 
courts 1 1 
couture 1 1 
cover 1 1 
covered 1 1 
covering 1 1 
coyly 1 1 
crack 1 1 
cracked 1 1 
crackers 1 1 
cradled 1 1 
craig 1 1 
cranapple 1 1 
cranberry 1 1 
crate 1 1 
crawled 1 1 
crayons 1 1 
crazed 1 1 
crazy 1 1 
cream 1 1 
creatures 1 1 
credited 1 1 
crepe 1 1 
crescendo 1 1 
crestfallen 1 1 
cretin 1 1 
crewneck 1 1 
cries 1 1 
crimson 1 1 
cringing 1 1 
crisis 1 1 
cristal 1 1 
cristofle 1 1 
critics 1 1 
crme 1 1 
crocheted 1 1 
crocodile 1 1 
croons 1 1 
cross 1 1 
crouched 1 1 
crow 1 1 
crowd 1 1 
crowded 1 1 
crudeness 1 1 
cruise 1 1 
cruising 1 1 
crumpled 1 1 
crumples 1 1 
crunch 1 1 
crunches 1 1 
crush 1 1 
crushed 1 1 
crusty 1 1 
cry 1 1 
crying 1 1 
crystal 1 1 
cubes 1 1 
cuff 1 1 
cuffs 1 1 
cuisine 1 1 
cummerbund 1 1 
cunningham 1 1 
cunt 1 1 
cup 1 1 
curb 1 1 
curbs 1 1 
curl 1 1 
curls 1 1 
current 1 1 
curse 1 1 
cursing 1 1 
curtly 1 1 
custody 1 1 
custom 1 1 
customer 1 1 
customers 1 1 
cut 1 1 
cuticle 1 1 
cuticles 1 1 
cuts 1 1 
cutting 1 1 
d 1 1 
dab 1 1 
daddy 1 1 
daley 1 1 
damn 1 1 
damnit 1 1 
dan 1 1 
dance 1 1 
dancing 1 1 
daring 1 1 
dark 1 1 
darkens 1 1 
darker 1 1 
darkness 1 1 
darling 1 1 
dash 1 1 
dashing 1 1 
date 1 1 
dated 1 1 
dating 1 1 
david 1 1 
davis 1 1 
dawned 1 1 
dawns 1 1 
day 1 1 
days 1 1 
de 1 1 
dead 1 1 
deadened 1 1 
deafening 1 1 
deal 1 1 
dealer 1 1 
dear 1 1 
death 1 1 
debate 1 1 
debates 1 1 
decade 1 1 
decaffeinated 1 1 
decapitated 1 1 
decent 1 1 
decide 1 1 
decided 1 1 
deciding 1 1 
decision 1 1 
decisively 1 1 
deck 1 1 
declarative 1 1 
deep 1 1 
deeply 1 1 
deerfield 1 1 
definitely 1 1 
deliberate 1 1 
deliberating 1 1 
delicately 1 1 
delivered 1 1 
dell 1 1 
deltoids 1 1 
demand 1 1 
demanding 1 1 
demands 1 1 
den 1 1 
denials 1 1 
dense 1 1 
densely 1 1 
denton 1 1 
departure 1 1 
depressing 1 1 
der 1 1 
derivative 1 1 
des 1 1 
descendants 1 1 
described 1 1 
describing 1 1 
deserted 1 1 
deserves 1 1 
design 1 1 
designed 1 1 
designer 1 1 
desire 1 1 
desirous 1 1 
desk 1 1 
despairing 1 1 
desperate 1 1 
desperately 1 1 
despicable 1 1 
despises 1 1 
despite 1 1 
destroying 1 1 
detached 1 1 
detail 1 1 
details 1 1 
devastates 1 1 
develop 1 1 
devil 1 1 
devilishly 1 1 
devotion 1 1 
dewy 1 1 
diabolical 1 1 
diagonal 1 1 
dial 1 1 
dialect 1 1 
dialogue 1 1 
diamond 1 1 
dibble 1 1 
dick 1 1 
dict 1 1 
did 1 1 
didn 1 1 
diet 1 1 
difference 1 1 
differently 1 1 
difficulty 1 1 
dig 1 1 
digging 1 1 
digital 1 1 
dim 1 1 
diminishing 1 1 
din 1 1 
diner 1 1 
dingman 1 1 
dining 1 1 
dinner 1 1 
dior 1 1 
dipping 1 1 
dips 1 1 
direct 1 1 
directly 1 1 
dirty 1 1 
disagree 1 1 
disappearing 1 1 
disappears 1 1 
disappointed 1 1 
disappointing 1 1 
disappointment 1 1 
disapprovingly 1 1 
disbelief 1 1 
disbelieving 1 1 
disc 1 1 
discomfort 1 1 
disconnected 1 1 
discounted 1 1 
discuss 1 1 
discussed 1 1 
discussing 1 1 
disease 1 1 
disgust 1 1 
disgusted 1 1 
dish 1 1 
disinterest 1 1 
disk 1 1 
display 1 1 
dissatisfied 1 1 
dissolves 1 1 
distance 1 1 
distracted 1 1 
district 1 1 
ditto 1 1 
divers 1 1 
divider 1 1 
divorce 1 1 
do 1 1 
doberman 1 1 
documentary 1 1 
dodging 1 1 
dodo 1 1 
does 1 1 
doesn 1 1 
dog 1 1 
doing 1 1 
doll 1 1 
dollar 1 1 
dollars 1 1 
dollop 1 1 
don 1 1 
donald 1 1 
donner 1 1 
donny 1 1 
door 1 1 
doorman 1 1 
doormen 1 1 
doors 1 1 
doorway 1 1 
dork 1 1 
dorsia 1 1 
dot 1 1 
dotting 1 1 
double 1 1 
doubtful 1 1 
doughnut 1 1 
dove 1 1 
down 1 1 
downplay 1 1 
downs 1 1 
downstairs 1 1 
downtown 1 1 
dowp 1 1 
drag 1 1 
drained 1 1 
draped 1 1 
drapes 1 1 
drawer 1 1 
dread 1 1 
dream 1 1 
dreaming 1 1 
dreamless 1 1 
dreamy 1 1 
dress 1 1 
dressed 1 1 
drexel 1 1 
dreyer 1 1 
dried 1 1 
dries 1 1 
drift 1 1 
drill 1 1 
drilled 1 1 
driller 1 1 
drink 1 1 
drinking 1 1 
drinks 1 1 
dripping 1 1 
drive 1 1 
driver 1 1 
drives 1 1 
drones 1 1 
drooling 1 1 
drop 1 1 
dropped 1 1 
dropping 1 1 
drops 1 1 
drowning 1 1 
drowns 1 1 
drugged 1 1 
drugs 1 1 
drugstore 1 1 
drum 1 1 
drumming 1 1 
drunk 1 1 
dry 1 1 
dryly 1 1 
dual 1 1 
duck 1 1 
dude 1 1 
duffel 1 1 
dufus 1 1 
duke 1 1 
dukes 1 1 
dull 1 1 
dumb 1 1 
dumbbell 1 1 
dumbly 1 1 
dumpster 1 1 
dumpy 1 1 
dunnit 1 1 
duntech 1 1 
during 1 1 
dutifully 1 1 
e 1 1 
each 1 1 
eagerly 1 1 
ear 1 1 
earlier 1 1 
early 1 1 
earnestly 1 1 
earnestness 1 1 
earphones 1 1 
earrings 1 1 
ears 1 1 
earsplitting 1 1 
earth 1 1 
easily 1 1 
easing 1 1 
east 1 1 
eat 1 1 
eaten 1 1 
eating 1 1 
eavesdrop 1 1 
ebersol 1 1 
echoes 1 1 
ecstasy 1 1 
ed 1 1 
eddie 1 1 
edge 1 1 
edges 1 1 
edgy 1 1 
edition 1 1 
edmonds 1 1 
edwards 1 1 
ee 1 1 
effect 1 1 
effects 1 1 
efficient 1 1 
effort 1 1 
effortlessly 1 1 
egg 1 1 
eight 1 1 
eighth 1 1 
eighties 1 1 
eighty 1 1 
either 1 1 
ejaculate 1 1 
elaborate 1 1 
elavil 1 1 
electric 1 1 
electromechanical 1 1 
elevated 1 1 
elevator 1 1 
elevators 1 1 
eleven 1 1 
elizabeth 1 1 
elmore 1 1 
else 1 1 
eluding 1 1 
embarrassed 1 1 
embody 1 1 
embraced 1 1 
embroidered 1 1 
emerges 1 1 
emily 1 1 
emits 1 1 
emotion 1 1 
emotional 1 1 
emotions 1 1 
emphatically 1 1 
empty 1 1 
enamel 1 1 
encircle 1 1 
encouraging 1 1 
end 1 1 
ended 1 1 
endorphins 1 1 
ends 1 1 
endure 1 1 
energy 1 1 
engagement 1 1 
enjoy 1 1 
enjoying 1 1 
enough 1 1 
entered 1 1 
entering 1 1 
enters 1 1 
entire 1 1 
entourage 1 1 
entre 1 1 
entres 1 1 
enunciating 1 1 
envelope 1 1 
enveloping 1 1 
equalizer 1 1 
equals 1 1 
equates 1 1 
er 1 1 
erect 1 1 
erection 1 1 
erlanger 1 1 
escape 1 1 
escort 1 1 
especially 1 1 
espresso 1 1 
esquire 1 1 
essence 1 1 
essentially 1 1 
etched 1 1 
ethnic 1 1 
eurotrash 1 1 
evaluations 1 1 
evaporating 1 1 
evelyn 1 1 
even 1 1 
evening 1 1 
eventually 1 1 
ever 1 1 
every 1 1 
everyone 1 1 
everything 1 1 
evian 1 1 
evokes 1 1 
ex 1 1 
exact 1 1 
exactly 1 1 
examine 1 1 
example 1 1 
examples 1 1 
excellent 1 1 
except 1 1 
excited 1 1 
excitedly 1 1 
exciting 1 1 
exclaims 1 1 
excrement 1 1 
excursion 1 1 
excuse 1 1 
excuses 1 1 
excusing 1 1 
exercise 1 1 
exercises 1 1 
exert 1 1 
exertion 1 1 
exeter 1 1 
exhale 1 1 
exhaling 1 1 
exhausted 1 1 
exhibit 1 1 
exist 1 1 
exits 1 1 
expect 1 1 
expectantly 1 1 
expected 1 1 
expecting 1 1 
expects 1 1 
expensive 1 1 
experience 1 1 
experts 1 1 
explain 1 1 
explaining 1 1 
explains 1 1 
explicitly 1 1 
explode 1 1 
exposed 1 1 
exposing 1 1 
express 1 1 
expresses 1 1 
expression 1 1 
expressionless 1 1 
exquisitely 1 1 
extended 1 1 
extensions 1 1 
extinction 1 1 
extra 1 1 
extremely 1 1 
eye 1 1 
eyeball 1 1 
eyebrows 1 1 
eyed 1 1 
eyeglasses 1 1 
eyeing 1 1 
eyes 1 1 
f 1 1 
fabulous 1 1 
face 1 1 
faced 1 1 
faces 1 1 
facial 1 1 
facialist 1 1 
facialize 1 1 
facials 1 1 
fact 1 1 
facts 1 1 
fades 1 1 
fag 1 1 
faggot 1 1 
faggots 1 1 
fails 1 1 
fair 1 1 
fairly 1 1 
faith 1 1 
faithful 1 1 
fake 1 1 
faking 1 1 
fall 1 1 
falling 1 1 
falls 1 1 
false 1 1 
faltering 1 1 
fame 1 1 
familiar 1 1 
family 1 1 
famous 1 1 
fan 1 1 
fangs 1 1 
far 1 1 
fare 1 1 
farsi 1 1 
farthest 1 1 
fashion 1 1 
fast 1 1 
faster 1 1 
fat 1 1 
fatal 1 1 
father 1 1 
fathom 1 1 
fault 1 1 
faux 1 1 
favorite 1 1 
fe 1 1 
fear 1 1 
features 1 1 
fect 1 1 
feebly 1 1 
feel 1 1 
feeling 1 1 
feels 1 1 
feet 1 1 
