6
Input Files/1.txt
Input Files/10.txt
Input Files/2.txt
Input Files/3.txt
Input Files/4.txt
Input Files/5.txt
0 5000
dropkicks 1 3 
dropped 1 3 
dropping 1 3 
drove 1 3 
drown 1 3 
drowned 1 3 
drug 1 3 
drugstore 1 3 
drunk 1 3 
drunken 1 3 
drunks 1 3 
dry 1 3 
duck 1 3 
ducked 1 3 
duddies 1 3 
dug 1 3 
dumb 1 3 
dumbest 1 3 
dump 1 3 
dumping 1 3 
dumpster 1 3 
during 1 3 
dusk 1 3 
dust 1 3 
duty 1 3 
dwarves 1 3 
dyed 1 3 
dying 1 3 
e 1 3 
each 1 3 
eager 1 3 
eagle 1 3 
ear 1 3 
eared 1 3 
earlier 1 3 
earlobes 1 3 
early 1 3 
earn 1 3 
earns 1 3 
ears 1 3 
earth 1 3 
easel 1 3 
easier 1 3 
east 1 3 
easy 1 3 
eat 1 3 
eaten 1 3 
eating 1 3 
eden 1 3 
edgar 1 3 
edge 1 3 
edged 1 3 
edges 1 3 
edging 1 3 
edgy 1 3 
educate 1 3 
educating 1 3 
edward 1 3 
eeing 1 3 
effort 1 3 
eggs 1 3 
eh 1 3 
eight 1 3 
eighth 1 3 
eighty 1 3 
either 1 3 
elbow 1 3 
elch 1 3 
elected 1 3 
electric 1 3 
electricians 1 3 
electricity 1 3 
electricsso 1 3 
elementary 1 3 
elephant 1 3 
ellis 1 3 
elmers 1 3 
else 1 3 
elves 1 3 
em 1 3 
embarrassed 1 3 
emerson 1 3 
emersons 1 3 
emptied 1 3 
empty 1 3 
enamel 1 3 
enclosed 1 3 
encourage 1 3 
encouraged 1 3 
encouraging 1 3 
encrustations 1 3 
encrusted 1 3 
end 1 3 
ended 1 3 
enemies 1 3 
enemy 1 3 
energy 1 3 
energyor 1 3 
engine 1 3 
english 1 3 
enjoy 1 3 
enjoying 1 3 
enlarge 1 3 
enormous 1 3 
enough 1 3 
enroll 1 3 
enrolled 1 3 
enrolling 1 3 
entered 1 3 
entire 1 3 
entrance 1 3 
episodes 1 3 
equal 1 3 
equally 1 3 
equations 1 3 
equipment 1 3 
erasers 1 3 
erasing 1 3 
erected 1 3 
ergo 1 3 
erma 1 3 
ermas 1 3 
eroding 1 3 
erosion 1 3 
escorted 1 3 
escorting 1 3 
especially 1 3 
essay 1 3 
essential 1 3 
et 1 3 
ethiopia 1 3 
eucalyptus 1 3 
evaluate 1 3 
evasive 1 3 
even 1 3 
evening 1 3 
evenings 1 3 
eventually 1 3 
ever 1 3 
every 1 3 
everybody 1 3 
everyone 1 3 
everything 1 3 
everythings 1 3 
everywhere 1 3 
exactly 1 3 
example 1 3 
exams 1 3 
exasperation 1 3 
excavate 1 3 
except 1 3 
exceptionally 1 3 
exchange 1 3 
excited 1 3 
excitement 1 3 
exclaimed 1 3 
excruciating 1 3 
excursion 1 3 
excuse 1 3 
executives 1 3 
exercise 1 3 
exist 1 3 
existed 1 3 
exit 1 3 
exorcism 1 3 
expect 1 3 
expedition 1 3 
expeditions 1 3 
expensive 1 3 
experiment 1 3 
expert 1 3 
explain 1 3 
explained 1 3 
explode 1 3 
exploded 1 3 
exploring 1 3 
explosion 1 3 
exposed 1 3 
expression 1 3 
expressions 1 3 
extra 1 3 
extras 1 3 
extravagant 1 3 
eye 1 3 
eyebrows 1 3 
eyed 1 3 
eyelids 1 3 
eyes 1 3 
f 1 3 
face 1 3 
faced 1 3 
faces 1 3 
facing 1 3 
fact 1 3 
faded 1 3 
failed 1 3 
faint 1 3 
fair 1 3 
fairlane 1 3 
faith 1 3 
fall 1 3 
fallen 1 3 
falling 1 3 
false 1 3 
families 1 3 
family 1 3 
fancy 1 3 
far 1 3 
farm 1 3 
farther 1 3 
fashion 1 3 
fashioned 1 3 
fast 1 3 
fastened 1 3 
faster 1 3 
fat 1 3 
fatback 1 3 
fates 1 3 
father 1 3 
fathers 1 3 
fault 1 3 
faulty 1 3 
favor 1 3 
favorite 1 3 
fear 1 3 
fearing 1 3 
feather 1 3 
feature 1 3 
features 1 3 
fecal 1 3 
fed 1 3 
fee 1 3 
feeble 1 3 
feed 1 3 
feeeeenix 1 3 
feel 1 3 
feeling 1 3 
feelings 1 3 
feet 1 3 
fell 1 3 
felonious 1 3 
felt 1 3 
fence 1 3 
fenced 1 3 
fend 1 3 
fenders 1 3 
fetch 1 3 
feuds 1 3 
few 1 3 
field 1 3 
fields 1 3 
fierce 1 3 
fiercer 1 3 
fifteen 1 3 
fifth 1 3 
fifties 1 3 
fifty 1 3 
fight 1 3 
fighting 1 3 
fightingest 1 3 
fights 1 3 
figure 1 3 
figured 1 3 
figuresso 1 3 
figuring 1 3 
filed 1 3 
fill 1 3 
filled 1 3 
filling 1 3 
film 1 3 
filmy 1 3 
finally 1 3 
finances 1 3 
financesand 1 3 
financially 1 3 
find 1 3 
finding 1 3 
fine 1 3 
finest 1 3 
finger 1 3 
fingering 1 3 
fingernails 1 3 
fingers 1 3 
finish 1 3 
finished 1 3 
finishing 1 3 
fir 1 3 
fire 1 3 
firebut 1 3 
fired 1 3 
firing 1 3 
first 1 3 
fish 1 3 
fishing 1 3 
fist 1 3 
fists 1 3 
fit 1 3 
fitting 1 3 
five 1 3 
fix 1 3 
fixing 1 3 
flailed 1 3 
flailing 1 3 
flame 1 3 
